lat,lng

26.9124,75.7873

19.3919,72.8397

25.5941,85.1376

17.6868,83.2185

19.0330,73.0297

15.8281,78.0373

12.6819,79.9888

28.5355,77.3910

17.3850,17.3850

12.8185,79.6947

22.7196,75.8577

12.9716,77.5946

34.0837,74.7973

28.4595,77.0266

32.7266,74.8570

19.0760,72.8777

18.6298,73.7997

28.7041,77.1025

18.5204,73.8567

23.2599,77.4126

28.4744,77.5040

19.2183,72.9781

30.9010,75.8573

28.6692,77.4538

21.1458,79.0882

22.5726,88.3639
