lat,lng
26.7773957,93.2569436744469
26.4800126,90.5580387
26.34142215,91.0167432847407
26.62781825,91.4614857805733
24.75863995,92.8816647576822
27.06971635,95.0642629838966
26.6464231,90.6241569872987
26.01894625,89.9418895246152
27.4844597,94.9019447
25.40036255,93.075229226789
26.75,92.5
27.4668315,94.5178650870885
26.1783623,90.6226683
26.40490095,94.0320911212063
26.1805978,91.753943
25.8452623,92.5746202
24.68845365,92.5738152824094
26.00939085,92.8487901426261
26.7577925,94.2079645
26,93.5
24.8483482,92.3322129231033
26.12755515,91.2998714797357
26.58687695,90.292931051248
27.0827158,93.9978423
26.252273,92.3548836
27.02195285,94.3274230296554
26.30414915,92.7160597443035
26.42386165,91.4512275462117
27.8342518,95.6767065818909
26.9834936,94.6394226
26.76777075,92.7014088585053
25.9056914,89.9918057378046
27.52016575,95.5306347312879
26.7764803,92.1053753389716
26.1853214,91.7472508
26.1805978,91.753943
22.383333,82.133333
22.383333,82.133333
12.9791198,77.5912997
8.5058909,76.9570481
26.4691,74.639
27.63907705,76.6144524902045
23.4930788,74.3484023131062
24.9171512,76.6964032248914
25.5819034,71.619662427772
27.26521245,77.3691255473912
25.48877345,74.6996128358402
28.0159286,73.3171367
25.5,75.833333
24.718026,74.4721469720088
28.2061443,74.6919072996346
26.80486585,76.4437456992933
26.7009896,77.8967857
23.666667,73.75
26.4691,74.639
26.2967719,73.0351433
29.36720015,74.298363650659
26.916194,75.820349
26.916194,75.820349
27.02801615,70.7785056232077
25.3476006,72.6260916
24.3132368,76.52223626123
28.1287995,75.3992581
26.2967719,73.0351433
26.2967719,73.0351433
26.51668105,77.0577297651736
25.1968256,76.0008933088555
25.1737019,75.8574194
27.0607859,74.1766753758271
25.6040908,73.415608785569
24.0333495,74.7801315
25.29131615,73.8244924740361
26.22914115,76.3045327701793
27.662826,75.0279262869133
24.8114047,72.8300257316025
29.9319645,73.8723448
26.12214725,75.6637537393224
24.578721,73.6862571
17.38878595,78.4610647345315
17.423312,78.3805527
17.38878595,78.4610647345315
19.5,78.5
17.5,80.333333
18.75,78.25
16.8579636,79.2174935331555
18.4346438,79.1322648
17.9806094,79.5982115
17.1333954,78.3970978701631
16.69656855,77.9591146208969
17.9375095,78.2117449851058
28.711241,77.4445372
28.916667,77.683333
28.5726442,77.3547609
27.1752554,78.0098161
28.711241,77.4445372
28.5246712,77.5996529
28.916667,77.683333
28.97240405,77.3331528493822
24.2115263,83.0366781
17.38878595,78.4610647345315
